0,G-Maps,http://www.findmyplace.somee.com/Images/buscar.png 
1,Agenda,http://www.findmyplace.somee.com/Images/agenda.jpg
2,Banks / Bancos,http://www.findmyplace.somee.com/Images/bancos.jpg
3,Education / Educación,http://www.findmyplace.somee.com/Images/educativos.jpg
4,Gyms / Gimnasios,http://www.findmyplace.somee.com/Images/gimnasios.jpg
5,Hotels / Hoteles,http://www.findmyplace.somee.com/Images/Hoteles.jpg 
6,Lawyers / Abogados,http://www.findmyplace.somee.com/Images/abogados.png 
7,Medicine / Medicina,http://www.findmyplace.somee.com/Images/medicina.jpg
8,Organizations / Organizaciones, http://www.findmyplace.somee.com/Images/ongs.png
9,Rent a Car / Renta de Vehículos, http://www.findmyplace.somee.com/Images/rentaveh.jpg
10,Restaurants / Restaurantes, http://www.findmyplace.somee.com/Images/restaurantes.jpg
11,Services / Servicios, http://www.findmyplace.somee.com/Images/servicios.png
12,Travel / Viajes, http://www.findmyplace.somee.com/Images/viajes.jpg


